 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
 996.12808    0.765956E+01    0.162000E+01    0.250537E+03    0.300711E+00
 999.47675    0.854374E+01    0.168000E+01    0.260116E+03    0.307032E+00
1001.21488    0.901514E+01    0.171000E+01    0.264917E+03    0.316578E+00
1002.99680    0.950697E+01    0.174000E+01    0.269727E+03    0.323028E+00
1004.82342    0.100199E+02    0.177000E+01    0.274546E+03    0.332888E+00
1008.61441    0.111119E+02    0.183000E+01    0.284210E+03    0.339497E+00
1010.58052    0.116923E+02    0.186000E+01    0.289056E+03    0.349441E+00
1012.59485    0.122966E+02    0.189000E+01    0.293912E+03    0.356173E+00
1014.65821    0.129255E+02    0.192000E+01    0.298777E+03    0.366385E+00
1018.93508    0.142601E+02    0.198000E+01    0.308539E+03    0.373209E+00
1021.15006    0.149671E+02    0.201000E+01    0.313435E+03    0.386020E+00
1026.53856    0.167309E+02    0.208133E+01    0.325120E+03    0.393532E+00
1031.92705    0.185555E+02    0.215108E+01    0.336606E+03    0.403563E+00
1037.31555    0.204396E+02    0.221926E+01    0.347892E+03    0.413528E+00
1042.70405    0.223818E+02    0.228590E+01    0.358981E+03    0.423439E+00
1048.09255    0.243808E+02    0.235102E+01    0.369873E+03    0.433306E+00
1053.48105    0.264353E+02    0.241465E+01    0.380570E+03    0.443140E+00
1058.86955    0.285440E+02    0.247680E+01    0.391074E+03    0.452950E+00
1064.25805    0.307057E+02    0.253751E+01    0.401385E+03    0.462745E+00
1069.64655    0.329191E+02    0.259679E+01    0.411505E+03    0.472533E+00
1075.03505    0.351830E+02    0.265468E+01    0.421436E+03    0.482323E+00
1080.42355    0.374962E+02    0.271118E+01    0.431180E+03    0.492120E+00
1085.81205    0.398575E+02    0.276634E+01    0.440738E+03    0.501932E+00
1091.20055    0.422658E+02    0.282016E+01    0.450112E+03    0.511765E+00
1096.58905    0.447200E+02    0.287268E+01    0.459304E+03    0.521626E+00
1101.97755    0.472189E+02    0.292392E+01    0.468316E+03    0.531519E+00
1107.36605    0.497614E+02    0.297390E+01    0.477149E+03    0.541450E+00
1112.75455    0.523465E+02    0.302264E+01    0.485806E+03    0.551424E+00
1118.14305    0.549731E+02    0.307017E+01    0.494289E+03    0.561445E+00
1123.53155    0.576401E+02    0.311651E+01    0.502599E+03    0.571517E+00
1128.92004    0.603466E+02    0.316169E+01    0.510740E+03    0.581643E+00
1134.30854    0.630915E+02    0.320572E+01    0.518713E+03    0.591828E+00
1139.69704    0.658740E+02    0.324864E+01    0.526521E+03    0.602073E+00
1145.08554    0.686929E+02    0.329047E+01    0.534166E+03    0.612382E+00
1150.47404    0.715475E+02    0.333122E+01    0.541650E+03    0.622755E+00
1155.86254    0.744367E+02    0.337093E+01    0.548976E+03    0.633195E+00
1161.25104    0.773597E+02    0.340961E+01    0.556147E+03    0.643701E+00
1166.63954    0.803157E+02    0.344729E+01    0.563164E+03    0.654275E+00
1172.02804    0.833037E+02    0.348400E+01    0.570032E+03    0.664916E+00
1177.41654    0.863229E+02    0.351975E+01    0.576752E+03    0.675623E+00
1182.80504    0.893726E+02    0.355458E+01    0.583327E+03    0.686394E+00
1188.19354    0.924519E+02    0.358850E+01    0.589761E+03    0.697226E+00
1193.58204    0.955601E+02    0.362153E+01    0.596055E+03    0.708116E+00
1198.97054    0.986963E+02    0.365371E+01    0.602214E+03    0.719060E+00
1204.35904    0.101860E+03    0.368505E+01    0.608240E+03    0.730052E+00
1209.74754    0.105050E+03    0.371558E+01    0.614136E+03    0.741085E+00
1215.13604    0.108267E+03    0.374532E+01    0.619905E+03    0.752153E+00
1220.52454    0.111508E+03    0.377429E+01    0.625551E+03    0.763246E+00
1225.91303    0.114774E+03    0.380253E+01    0.631076E+03    0.774355E+00
1231.30153    0.118065E+03    0.383004E+01    0.636485E+03    0.785468E+00
1236.69003    0.121379E+03    0.385686E+01    0.641781E+03    0.796572E+00
1242.07853    0.124715E+03    0.388301E+01    0.646966E+03    0.807653E+00
1247.46703    0.128074E+03    0.390851E+01    0.652045E+03    0.818695E+00
1252.85553    0.131454E+03    0.393339E+01    0.657021E+03    0.829681E+00
1258.24403    0.134856E+03    0.395767E+01    0.661897E+03    0.840592E+00
1263.63253    0.138279E+03    0.398136E+01    0.666679E+03    0.851407E+00
1269.02103    0.141721E+03    0.400451E+01    0.671368E+03    0.862105E+00
1274.40953    0.145183E+03    0.402712E+01    0.675969E+03    0.872660E+00
1279.79803    0.148665E+03    0.404923E+01    0.680486E+03    0.883047E+00
1285.18653    0.152165E+03    0.407085E+01    0.684923E+03    0.893240E+00
1290.57503    0.155684E+03    0.409201E+01    0.689284E+03    0.903210E+00
1295.96353    0.159221E+03    0.411274E+01    0.693572E+03    0.912926E+00
1301.35203    0.162776E+03    0.413305E+01    0.697792E+03    0.922358E+00
1306.74053    0.166348E+03    0.415297E+01    0.701949E+03    0.931474E+00
1312.12903    0.169937E+03    0.417252E+01    0.706046E+03    0.940240E+00
1317.51753    0.173543E+03    0.419174E+01    0.710087E+03    0.948624E+00
1322.90602    0.177165E+03    0.421063E+01    0.714078E+03    0.956591E+00
1328.29452    0.180803E+03    0.422922E+01    0.718021E+03    0.964109E+00
1333.68302    0.184457E+03    0.424754E+01    0.721923E+03    0.971144E+00
1339.07152    0.188127E+03    0.426562E+01    0.725787E+03    0.977665E+00
1344.46002    0.191812E+03    0.428346E+01    0.729618E+03    0.983640E+00
1349.84852    0.195513E+03    0.430110E+01    0.733421E+03    0.989041E+00
1355.23702    0.199229E+03    0.431857E+01    0.737200E+03    0.993841E+00
1360.62552    0.202959E+03    0.433587E+01    0.740960E+03    0.998015E+00
1366.01402    0.206705E+03    0.435304E+01    0.744706E+03    0.100154E+01
1371.40252    0.210466E+03    0.437011E+01    0.748443E+03    0.100441E+01
1376.79102    0.214241E+03    0.438709E+01    0.752176E+03    0.100659E+01
1382.17952    0.218030E+03    0.440400E+01    0.755909E+03    0.100808E+01
1387.56802    0.221834E+03    0.442088E+01    0.759648E+03    0.100888E+01
1392.95652    0.225653E+03    0.443774E+01    0.763398E+03    0.100898E+01
1398.34502    0.229487E+03    0.445460E+01    0.767165E+03    0.100838E+01
